input_dataset,method,agents,agent_topk,avg_top1,val_avg_top1,seed,irl_lr,irl_epochs,irl_greedy,irl_tau,irl_weights,dt_negatives,dt_max_depth
ticket_log_EDD.csv,irl,"Alice,Bob,Carol","{'Alice': [0.819672131147541, 0.9836065573770492, 1.0], 'Bob': [0.9696969696969697, 1.0, 1.0], 'Carol': [0.8082191780821918, 0.9726027397260274, 0.9863013698630136]}",0.8658627596422342,0.8315770609318996,42,0.05,100,True,1.0,"{'Bob': array([ 6.35074744e-02,  6.79202807e-01,  7.07272477e-01,  6.66382256e-01,
        1.44227006e-01,  4.27970126e-01, -4.80999157e-02, -8.79897919e-03,
        4.21212889e-01, -2.67349335e+01]), 'Alice': array([  0.04507951,   1.0708994 ,   0.26228824,   0.71763068,
         1.00450393,  -0.71719447,   0.56582658,  -0.25116378,
        -0.26304093, -33.62430207]), 'Carol': array([-2.10235610e-01,  8.98507445e-01,  1.20141530e+00, -2.08256495e-02,
        7.60370475e-01, -4.49964937e-01,  3.19504634e-01,  4.49732049e-01,
        5.72676886e-01, -3.54634207e+01])}",50,5
ticket_log_EDD.csv,irl,"Alice,Bob,Carol","{'Alice': [0.7704918032786885, 0.9508196721311475, 0.9836065573770492], 'Bob': [0.9242424242424242, 0.9848484848484849, 1.0], 'Carol': [0.8082191780821918, 0.958904109589041, 0.9863013698630136]}",0.8343178018677682,0.7733243727598568,42,0.1,100,True,1.0,"{'Bob': array([ 5.02371875e-01,  6.26427826e-01,  7.17514556e-01,  7.08014011e-01,
        1.15682103e-01,  7.22166901e-01, -4.86852202e-01, -5.04309545e-02,
        9.08669689e-01, -5.11548847e+01]), 'Alice': array([ 1.52516741e+00, -1.70725637e+00,  1.50914417e+00,  2.21800370e+00,
       -8.27714323e-01,  1.26818984e+00, -8.05241925e-03, -1.00905012e+00,
       -5.30695544e-01, -6.63045724e+01]), 'Carol': array([ -0.28255401,   1.19613379,   2.05894082,  -1.13523027,
         1.39839562,  -1.25198241,   0.71293204,   0.91587513,
         1.32332392, -70.30933336])}",50,5
ticket_log_EDD.csv,dt_local,"Alice,Bob,Carol","{'Alice': [0.09836065573770492, 0.13114754098360656, 0.13114754098360656], 'Bob': [0.015151515151515152, 0.030303030303030304, 0.09090909090909091], 'Carol': [0.0136986301369863, 0.0410958904109589, 0.0410958904109589]}",0.04240360034206878,0.06854838709677419,42,0.005,100,False,1.0,,10,5
ticket_log_EDD.csv,dt_local,"Alice,Bob,Carol","{'Alice': [0.16393442622950818, 0.22950819672131148, 0.2786885245901639], 'Bob': [0.06060606060606061, 0.09090909090909091, 0.16666666666666666], 'Carol': [0.0821917808219178, 0.1506849315068493, 0.1917808219178082]}",0.10224408921916221,0.10249103942652328,42,0.005,100,False,1.0,,10,10
ticket_log_EDD.csv,dt_local,"Alice,Bob,Carol","{'Alice': [0.08196721311475409, 0.13114754098360656, 0.13114754098360656], 'Bob': [0.045454545454545456, 0.10606060606060606, 0.12121212121212122], 'Carol': [0.0410958904109589, 0.0821917808219178, 0.0958904109589041]}",0.05617254966008615,0.05152329749103943,42,0.005,100,False,1.0,,10,20
ticket_log_EDD.csv,dt_local,"Alice,Bob,Carol","{'Alice': [0.08196721311475409, 0.13114754098360656, 0.13114754098360656], 'Bob': [0.045454545454545456, 0.10606060606060606, 0.12121212121212122], 'Carol': [0.0410958904109589, 0.0821917808219178, 0.0958904109589041]}",0.05617254966008615,0.05152329749103943,42,0.005,100,False,1.0,,10,
ticket_log_EDD.csv,dt_global,"Alice,Bob,Carol","{'Alice': [0.03278688524590164, 0.06557377049180328, 0.08196721311475409], 'Bob': [0.0, 0.015151515151515152, 0.045454545454545456], 'Carol': [0.0136986301369863, 0.0684931506849315, 0.0821917808219178]}",0.01549517179429598,0.005376344086021505,42,0.005,100,False,1.0,,10,5
ticket_log_EDD.csv,dt_global,"Alice,Bob,Carol","{'Alice': [0.03278688524590164, 0.08196721311475409, 0.09836065573770492], 'Bob': [0.030303030303030304, 0.045454545454545456, 0.10606060606060606], 'Carol': [0.0684931506849315, 0.0821917808219178, 0.0958904109589041]}",0.04386102207795448,0.029740143369175628,42,0.005,100,False,1.0,,10,10
ticket_log_EDD.csv,dt_global,"Alice,Bob,Carol","{'Alice': [0.04918032786885246, 0.08196721311475409, 0.08196721311475409], 'Bob': [0.015151515151515152, 0.045454545454545456, 0.07575757575757576], 'Carol': [0.0547945205479452, 0.136986301369863, 0.1506849315068493]}",0.03970878785610427,0.05724014336917563,42,0.005,100,False,1.0,,10,20
ticket_log_EDD.csv,dt_global,"Alice,Bob,Carol","{'Alice': [0.03278688524590164, 0.08196721311475409, 0.08196721311475409], 'Bob': [0.015151515151515152, 0.045454545454545456, 0.07575757575757576], 'Carol': [0.0410958904109589, 0.1232876712328767, 0.1506849315068493]}",0.02967809693612523,0.05853046594982079,42,0.005,100,False,1.0,,10,
